OTUID,taxon,Genus
e19ad46aadf11da8d408e28f14b08a1c,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
81d243e4d8cd2bcb1040ead3d5811385,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
3f7e055672e594045d8e78efc7e45856,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
0bd966b7f9fa673d0fab24a09b0c556d,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
8fc5f5f0d6f9a7e12d65e5797f3c0678,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
c041b45ba5c276bdce2bede6fae05775,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
f0a0609618ff6be5c48ce766cfa6f9b5,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__frigida,Schizothrix
046017b471d11e8969285592c1b1060f,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
12178cbb617ce882f6ed338a32364857,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
adc6d5a5b81798afceddc66047f047e0,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
6b53cfb1498ed608f512f410fa5768e2,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
8319a82e814f932454556755d636ebda,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae,Schizothrix
12d0a53c7da3b356dd7d2dc8c7ae82d3,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
5c4320568be6cbcadf5ffdeb19240044,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
67536e686ffa4bb163f28b792ae2d392,k__Bacteria; p__Cyanobacteria,Schizothrix
f34b0122782a75d7dacb652f34aedffb,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
fc64055d9104675ed2999b53f67db0f7,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
b08c50421edb3ff4e4de938f8753ed5b,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
f9be15fa84a232f88d24b520895583a4,k__Bacteria; p__Cyanobacteria,Schizothrix
69724e9773f50999bb279ea72277f06e,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
08c377bb91b4c28bb76e7e153616a56c,k__Bacteria; p__Cyanobacteria,Schizothrix
af9cfe3d562486eb67506d981b9be38b,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
d1fa7e82dea62fd6cc3ceb8f760af8ea,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
